reporter_area_label,year,value,value_millions
Chad,2002,149.0,0.149
Chad,2003,101.0,0.101
Chad,2004,106.0,0.106
Chad,2005,59.0,0.059
Chile,2008,3713.0,3.713
Chile,2009,3657.0,3.657
Chile,2010,3584.0,3.584
Chile,2011,3963.0,3.963
Chile,2012,4397.0,4.397
Chile,2013,4457.0,4.457
Chile,2014,4601.0,4.601
Chile,2015,5487.0,5.487
Chile,2016,6712.0,6.712
Chile,2017,7621.0,7.621
Chile,2018,6603.0,6.603
Chile,2019,5431.0,5.431
Chile,2020,1310.432,1.310432
Chile,2021,191.567,0.19156700000000002
Chile,2022,2269.156,2.2691559999999997
Chile,2023,4255.034,4.255033999999999
Chile,2024,5838.209,5.838209
China,1995,46387.0,46.387
China,1996,51128.0,51.128
China,1997,57588.0,57.588
China,1998,63478.0,63.478
China,1999,72796.0,72.796
China,2000,83444.0,83.444
China,2001,89013.0,89.013
China,2002,97908.0,97.908
China,2003,91662.0,91.662
China,2004,109038.0,109.038
China,2005,120292.0,120.292
China,2006,124942.0,124.942
China,2007,131873.0,131.873
China,2008,130027.0,130.027
China,2009,126476.0,126.476
China,2010,133762.0,133.762
China,2011,135423.0,135.423
China,2012,132405.0,132.405
China,2013,129078.0,129.078
China,2014,128499.0,128.499
China,2015,133820.0,133.82
China,2016,141774.0,141.774
China,2017,153260.0,153.26
China,2018,158606.0,158.606
China,2019,162538.0,162.538
China,2020,27467.0,27.467
China,2021,26380.0,26.38
China,2022,25250.0,25.25
Taiwan Province of China,1995,2332.0,2.332
Taiwan Province of China,1996,2358.0,2.358
Taiwan Province of China,1997,2372.0,2.372
Taiwan Province of China,1998,2299.0,2.299
Taiwan Province of China,1999,2411.0,2.411
Taiwan Province of China,2000,2624.0,2.624
Taiwan Province of China,2001,2831.0,2.831
Taiwan Province of China,2002,2978.0,2.978
Taiwan Province of China,2003,2248.0,2.248
Taiwan Province of China,2004,2950.0,2.95
Taiwan Province of China,2005,3378.0,3.378
Taiwan Province of China,2006,3520.0,3.52
Taiwan Province of China,2007,3716.0,3.716
Taiwan Province of China,2008,3845.0,3.845
Taiwan Province of China,2009,4395.0,4.395
Taiwan Province of China,2010,5567.0,5.567
Taiwan Province of China,2011,6087.0,6.087
Taiwan Province of China,2012,7311.0,7.311
Taiwan Province of China,2013,8016.0,8.016
Taiwan Province of China,2014,9910.0,9.91
Taiwan Province of China,2015,10440.0,10.44
Taiwan Province of China,2016,10690.0,10.69
Taiwan Province of China,2017,10740.0,10.74
Taiwan Province of China,2018,11067.0,11.067
Taiwan Province of China,2019,11864.0,11.864
Taiwan Province of China,2020,1377.9,1.3779000000000001
Taiwan Province of China,2021,140.4,0.1404
Taiwan Province of China,2022,895.9,0.8959
Taiwan Province of China,2023,6487.0,6.487
Taiwan Province of China,2024,7858.0,7.858
Colombia,1995,1433.0,1.433
Colombia,1996,751.0,0.751
Colombia,1997,758.0,0.758
Colombia,1998,823.0,0.823
Colombia,1999,725.0,0.725
Colombia,2000,707.0,0.707
Colombia,2001,788.0,0.788
Colombia,2002,661.0,0.661
Colombia,2003,668.0,0.668
Colombia,2004,840.0,0.84
Colombia,2005,981.0,0.981
Colombia,2006,2096.0,2.096
Colombia,2007,2381.0,2.381
Colombia,2008,2545.0,2.545
Colombia,2009,2649.0,2.649
Colombia,2010,1701.0,1.701
Colombia,2011,2356.0,2.356
Colombia,2012,2434.0,2.434
Colombia,2013,2595.0,2.595
Colombia,2014,2866.0,2.866
Colombia,2015,3371.0,3.371
Colombia,2016,3675.0,3.675
Colombia,2017,4056.0,4.056
Colombia,2018,4398.0,4.398
Colombia,2019,4531.0,4.531
Colombia,2020,1386.0,1.386
Colombia,2021,2146.0,2.146
Colombia,2022,4687.0,4.687
Comoros,2020,7.0,0.007
Comoros,2021,28.8,0.0288
Congo,2010,199.0,0.199
Congo,2011,224.0,0.224
Congo,2012,259.0,0.259
Congo,2013,345.0,0.345
Congo,2014,229.0,0.229
Congo,2015,224.0,0.224
Congo,2016,213.0,0.213
Congo,2017,151.0,0.151
Congo,2018,158.0,0.158
Democratic Republic of the Congo,1995,85.0,0.085
